,brand,accessories,bag style,skin type,hardware - metal type,hardware - num zips,hardware - strap type,strap length,num compartments,num components,major color,num colors,volume,num functionality,inner material,price
107,Celine,Strap,Handle Bag,Calf,Leather,2,Leather,10.0,3,5,Beige,1,1008.0,2,Calf,3600
108,Celine,Strap,Shoulder Bag,Snake,Gold,0,Metal,50.0,2,3,Brown,1,144.0,2,Others,3500
109,Chanel,Chain,Handle Bag,Calf,Gold,0,"Metal,Leather",35.0,1,4,Blue,1,108.37599999999999,1,Calf,4200
110,Chanel,Chain,Handle Bag,Lamb,Gold,1,"Metal,Leather",55.0,1,3,Red,2,191.66000000000003,1,Calf,4500
111,Chanel,Chain,Tote,Calf,Silver,1,"Metal,Leather",10.0,1,3,Silver,1,667.8749999999999,1,Calf,4100
112,Chanel,Chain,Shoulder Bag,Calf,Silver,1,"Metal,Leather",30.0,2,3,Red,1,348.582,1,Calf,4500
113,Chanel,Chain,Shoulder Bag,Calf,Gold,1,"Metal,Leather",50.0,1,5,Black,2,93.98700000000001,1,Calf,4500
114,Chanel,Chain,Purse,Calf,Gold,1,Leather,30.0,3,12,White,1,116.702,1,Satin,4800
115,Chanel,Chain,Purse,Others,Gold,1,"Metal,Leather",30.0,2,3,Black,2,190.89000000000001,1,Satin,7000
116,Chanel,Strap,Tote,Calf,Gold,2,Leather,50.0,3,10,White,1,555.399,1,Microfiber,5200
117,Chanel,Strap,Purse,Lamb,Gold,1,"Metal,Leather",50.0,2,10,White,6,110.66999999999999,1,Others,3900
118,Chanel,Clasp,Clutch,"Embroidery, Others",Silver,0,None,0.0,1,3,Yellow,3,77.14199999999998,1,Satin,5100
119,Chanel,Chain,Shoulder Bag,Calf,Gold,1,"Metal,Leather",50.0,2,4,Yellow,1,123.87600000000002,1,Satin,4300
120,Chanel,Chain,Shoulder Bag,"Embroidery, Others",Silver,0,Metal,50.0,1,3,Black,2,190.89000000000001,1,Others,8200
121,Chanel,Chain,Shoulder Bag,"Calf, Python",Gold,2,"Metal,Leather",55.0,3,6,Pink,2,142.662,1,Calf,5800
122,Chanel,Chain,Shoulder Bag,Others,Gold,0,Metal,50.0,2,5,Pink,4,169.074,1,Others,6600
123,Chanel,Chain,Shoulder Bag,"Calf, Python",Gold,0,"Metal,Leather",50.0,3,5,Green,1,103.194,1,Others,6100
124,Chanel,Chain,Shoulder Bag,Calf,Gold,0,"Metal,Leather",50.0,1,5,Black,1,98.98200000000001,1,Calf,6000
125,Chanel,Crystals,Clutch,Lizard,Gold,1,"Metal,Leather",50.0,2,5,Gold,1,93.775,1,Satin,9200
126,Chanel,Chain,Handle Bag,Python,Gold,1,"Metal,Leather",50.0,2,5,Yellow,1,169.074,1,Calf,10300
127,Chanel,Buckle,Handle Bag,Embroidery,Gold,0,"Metal,Leather",50.0,2,5,Pink,3,201.79800000000003,1,Others,10000
128,Chanel,Lock,Handle Bag,Python,Gold,0,Leather,50.0,2,5,Black,2,85.8,1,Satin,5100
129,Chanel,Lock,Handle Bag,"Lizard, Lamb",Gold,0,Leather,50.0,2,5,Black,2,85.8,1,Satin,8800
130,Chanel,Chain,Handle Bag,"Lamb, Python",Gold,0,Leather,50.0,2,4,Black,1,185.22000000000003,1,Calf,5100
131,Chanel,Chain,Clutch,"Calf, Python",Gold,0,Leather,0.0,2,3,Black,2,134.78400000000002,1,Calf,6500
132,Chanel,Chain,Handle Bag,"Calf, Python",Ruthenium,0,Metal,30.0,1,3,Black,2,98.98200000000001,1,Calf,6800
133,Chanel,Chain,Handle Bag,Calf,Gold,0,"Metal,Leather",30.0,1,5,Red,1,98.98200000000001,1,Calf,5400
134,Chanel,Chain,Clutch,Calf,Gold,0,"Metal,Leather",20.0,1,9,Black,3,169.012,1,Calf,7900
135,Chanel,"Chain, Turnlock",Handle Bag,Calf,Gold,0,"Metal,Leather",30.0,1,6,Red,3,169.012,1,Calf,5700
136,Chanel,Chain,Handle Bag,Calf,Gold,0,"Metal,Leather",20.0,1,4,Green,1,240.236,1,Calf,6200
137,Chanel,Chain,Shoulder Bag,Calf,Gold,1,"Metal,Leather",55.0,2,5,Black,2,142.662,1,Calf,7100
138,Chanel,Chain,Shoulder Bag,"Calf, Others",Gold,1,"Metal,Leather",55.0,2,5,White,2,142.662,1,Others,3900
139,Chanel,Chain,Clutch,Lamb,Ruthenium,1,"Metal,Leather",20.0,2,3,Black,2,169.074,1,Calf,8200
140,Chanel,Chain,Handle Bag,Python,Gold,1,Metal,55.0,2,5,Orange,1,169.074,1,Satin,10300
141,Chanel,Chain,Clutch,"Lamb, Python",Gold,1,Metal,30.0,2,5,Black,3,169.074,1,Calf,11000
